model,test score,balanced score,auc,matthews_corrcoef,log_loss,jaccard_score,hamming_loss,f1_score,data_type,iteration
gradient boosted classifier,0.9049129593810445,0.821598968407479,0.9049129593810445,0.643787619139562,0.44458414859888945,0.7444444444444445,0.1725,0.8535031847133758,main,1
naive bayes,0.885,0.8940038684719536,0.9087298517085751,0.7763231867132123,0.4928090527662694,0.8114754098360656,0.115,0.8959276018099548,main,1
gradient boosted classifier,0.9033139909735655,0.8107027724049001,0.9033139909735655,0.6264668059984552,0.6316561489306746,0.7381818181818182,0.18,0.8493723849372385,epi,1
naive bayes,0.8525,0.8582205029013539,0.9022823984526112,0.7066583305360506,1.1466604176725168,0.766798418972332,0.1475,0.8680089485458613,epi,1

gradient boosted classifier,0.9126963621331128,0.7840016535758578,0.9126963621331128,0.5820061330436065,0.6061386802218037,0.7202797202797203,0.2,0.8373983739837398,main,1
naive bayes,0.825,0.822860686233981,0.8910965274906986,0.6414922880982254,0.4346589621356635,0.7378277153558053,0.175,0.8491379310344828,main,1
gradient boosted classifier,0.8993165699548678,0.8310122501611863,0.8993165699548678,0.6639020040833724,0.6713476359626308,0.758364312267658,0.1625,0.8625792811839323,main,1
naive bayes,0.8375,0.837330754352031,0.8934622823984526,0.6690853075921563,0.43692127643772116,0.7519083969465649,0.1625,0.8583877995642701,main,1
